Region,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5
Cape_Verde,0.4323993317,0.0368919470,0.1237289974,0.1229364489,0.1258921031,0.1148743796,0.0019161874,0.0099458050,0.0250688272,0.0063459726
Ethiopia,0.4989108454,0.0241516385,0.1549612808,0.1162174126,0.0955892767,0.0632540814,0.0019349090,0.0094061334,0.0313791897,0.0041952325
Harrat Ash Shaam,0.4716946970,0.0260543987,0.1524612435,0.1178033348,0.0991924073,0.0759403604,0.0016696600,0.0123224065,0.0361190719,0.0067424198
Hawaii,0.4989106129,0.0230847637,0.1289883371,0.1141692205,0.1054623494,0.0986648703,0.0017560160,0.0041041116,0.0222509328,0.0026087856
Iceland,0.4889531132,0.0115144902,0.1501234477,0.1064383592,0.1227855413,0.0975589127,0.0018314477,0.0011261935,0.0186832737,0.0009852208
Lake Baikal,0.4833889246,0.0245126943,0.1471057174,0.1131742146,0.0862065736,0.0842331121,0.0016481616,0.0180231811,0.0361287280,0.0055786928
Mascarene,0.4824667807,0.0221156223,0.1290809295,0.1227393801,0.0992436890,0.1103357293,0.0018167954,0.0058506942,0.0236495162,0.0027008632
New_South_Wales,0.5817539417,0.0148282940,0.1613246964,0.0925894666,0.0453055727,0.0251356739,0.0016538822,0.0291730736,0.0440553348,0.0041800642
Tibet,0.5674779259,0.0140163848,0.1450043710,0.0662353113,0.0655940174,0.0594263054,0.0011276170,0.0475211721,0.0270861049,0.0065107903
Victoria_Tasmania,0.4860020439,0.0241371516,0.1399489070,0.1159909013,0.0875018857,0.0866486616,0.0017204453,0.0154256333,0.0359923542,0.0066320162
