Region,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5
Afar,0.4948949325,0.0226841422,0.1527750156,0.1194071813,0.1047961415,0.0664754467,0.0020151826,0.0054598526,0.0281147126,0.0033773925
Antarctica,0.4758029993,0.0292609912,0.1561752400,0.1164870234,0.0941014855,0.0617085970,0.0021247371,0.0157988260,0.0410917287,0.0074483718
Austral_Cook,0.4609125239,0.0297440385,0.1297491152,0.1254806442,0.1157792572,0.0944484465,0.0018892395,0.0091301831,0.0279417029,0.0049248490
Azores,0.4744433759,0.0286094261,0.1414194405,0.1059341927,0.1099594179,0.0942570906,0.0017027439,0.0110117818,0.0279558484,0.0047066821
Bohemian_Massif,0.4621979524,0.0277669297,0.1371477407,0.1128346410,0.1168153948,0.0825676630,0.0020922101,0.0153154504,0.0348916142,0.0083704037
Brazil,0.4769529440,0.0241040234,0.1286547862,0.1084265453,0.0991134050,0.1102481115,0.0017311098,0.0131790503,0.0309637042,0.0066263201
Cameroon,0.5312215034,0.0246220567,0.1700675146,0.0964208650,0.0655070588,0.0378381636,0.0022646376,0.0447666643,0.0214859765,0.0058055594
Canary,0.4506558927,0.0346560501,0.1215299428,0.1243018478,0.1121198578,0.1089644358,0.0018644839,0.0102743763,0.0290404330,0.0065926798
Cape_Verde,0.4323993317,0.0368919470,0.1237289974,0.1229364489,0.1258921031,0.1148743796,0.0019161874,0.0099458050,0.0250688272,0.0063459726
Central Anatolia,0.5046249780,0.0156325541,0.1573995614,0.0928487919,0.0986372189,0.0781381438,0.0014239636,0.0122145987,0.0348085685,0.0042716211
Changbaishan,0.4980624025,0.0193089050,0.1544172079,0.1047197535,0.0802635133,0.0767586038,0.0016205262,0.0203137650,0.0386469809,0.0058883418
Comoros,0.4483962145,0.0236801072,0.1244806138,0.1226030556,0.1200464388,0.1134964513,0.0019357521,0.0100976035,0.0302516831,0.0050120801
Darfur,0.5378744108,0.0201492562,0.1705521039,0.0984891656,0.0662915165,0.0328750350,0.0014738988,0.0227636918,0.0446611354,0.0048697862
Dead_Sea_Region,0.4688526945,0.0272140288,0.1482696118,0.1246683250,0.1002631547,0.0755333214,0.0016086592,0.0107694623,0.0359060879,0.0069146544
Eastern Anatolia,0.5021602679,0.0203553778,0.1625741737,0.1036313960,0.0884984007,0.0652252009,0.0016596476,0.0127630555,0.0387698177,0.0043626621
Eifel,0.4859050170,0.0245335497,0.1454433528,0.1061552713,0.1003769723,0.0807729757,0.0019691221,0.0144926581,0.0345254127,0.0058256683
Ethiopia,0.4989108454,0.0241516385,0.1549612808,0.1162174126,0.0955892767,0.0632540814,0.0019349090,0.0094061334,0.0313791897,0.0041952325
Galapagos,0.4878013681,0.0191314320,0.1557777001,0.1030667570,0.1104264986,0.0897727556,0.0018529669,0.0036662184,0.0259111956,0.0025931076
Hangai,0.4992043978,0.0217215913,0.1551629597,0.0990709382,0.0758728795,0.0730006511,0.0014347720,0.0259517933,0.0415339302,0.0070460870
Harrat Ash Shaam,0.4716946970,0.0260543987,0.1524612435,0.1178033348,0.0991924073,0.0759403604,0.0016696600,0.0123224065,0.0361190719,0.0067424198
Harrat_Rahat,0.4858865219,0.0234889039,0.1682524729,0.1235125435,0.0869630801,0.0566970772,0.0020430570,0.0089095311,0.0396025668,0.0046442456
Hawaii,0.4989106129,0.0230847637,0.1289883371,0.1141692205,0.1054623494,0.0986648703,0.0017560160,0.0041041116,0.0222509328,0.0026087856
Hoggar,0.5375086635,0.0210551232,0.1574580114,0.1010448420,0.0649436800,0.0422620437,0.0020969056,0.0228521508,0.0440617395,0.0067168403
Iceland,0.4889531132,0.0115144902,0.1501234477,0.1064383592,0.1227855413,0.0975589127,0.0018314477,0.0011261935,0.0186832737,0.0009852208
Iran,0.5096808999,0.0150286835,0.1463216444,0.0815653933,0.0957738526,0.0788185706,0.0013698520,0.0278888633,0.0347438154,0.0088084250
Korea,0.4982152508,0.0242199998,0.1531420436,0.1110416058,0.0861048345,0.0729063927,0.0016353094,0.0147153657,0.0330885547,0.0049306430
Lake Baikal,0.4833889246,0.0245126943,0.1471057174,0.1131742146,0.0862065736,0.0842331121,0.0016481616,0.0180231811,0.0361287280,0.0055786928
Libya,0.5002811352,0.0202866665,0.1482049846,0.1065190760,0.0942040993,0.0764889606,0.0017462888,0.0117096508,0.0367538889,0.0038052493
Madagascar,0.5007017285,0.0168602153,0.1457982365,0.1051634599,0.0942475128,0.0689171983,0.0024238260,0.0185584596,0.0419629932,0.0053663700
Madiera,0.4570019160,0.0270585192,0.1375346003,0.1199920803,0.1077190047,0.1084939412,0.0019003716,0.0082154936,0.0266086982,0.0054753749
Marquesas,0.4724518276,0.0331681181,0.1347639154,0.1210421017,0.1006554306,0.0926269702,0.0017951047,0.0102823392,0.0280329519,0.0051812406
Mascarene,0.4824667807,0.0221156223,0.1290809295,0.1227393801,0.0992436890,0.1103357293,0.0018167954,0.0058506942,0.0236495162,0.0027008632
Massif_Central,0.4908472388,0.0251011620,0.1501024434,0.1110679392,0.0018889718,0.0681890147,0.0880989150,0.0388797643,0.0192581491,0.0065664019
Mexico,0.5289728889,0.0167015503,0.1638407108,0.0842546746,0.0821280915,0.0668221478,0.0014236007,0.0127846436,0.0386544675,0.0044172244
Mt_Etna,0.5106247573,0.0174107697,0.1747929855,0.0898058448,0.0920284136,0.0553833372,0.0016294399,0.0108399920,0.0415507308,0.0059337291
N_Kenya,0.4702436018,0.0259212344,0.1455329064,0.1222814152,0.1110566248,0.0734692458,0.0020521951,0.0112616191,0.0328465144,0.0053346430
New_South_Wales,0.5817539417,0.0148282940,0.1613246964,0.0925894666,0.0453055727,0.0251356739,0.0016538822,0.0291730736,0.0440553348,0.0041800642
New_Zealand,0.4644168311,0.0283449411,0.1403421160,0.1280290799,0.1014579228,0.0814696699,0.0019152758,0.0120752348,0.0356143397,0.0063345889
Northern_Cordillera,0.5101358446,0.0199463426,0.1592694710,0.1114164958,0.0817383652,0.0574096978,0.0018279559,0.0141581839,0.0391373435,0.0049602997
Nushan,0.4867587492,0.0233602648,0.1395869748,0.1125791435,0.0916308424,0.0830505935,0.0016256160,0.0169844327,0.0377158480,0.0067075352
Pannonian_Basin,0.4689220200,0.0231544982,0.1510430743,0.0980854180,0.1011662408,0.0865904211,0.0017600948,0.0202581254,0.0415503524,0.0074697551
Patagonia,0.4980649390,0.0228862750,0.1520247290,0.1059081786,0.0873985184,0.0763561402,0.0015809223,0.0128834348,0.0375867327,0.0053101300
Pitcairn,0.5319361287,0.0225976529,0.1566545793,0.1050215691,0.0777351610,0.0534554176,0.0017295814,0.0123206454,0.0339342641,0.0046150005
Queensland,0.4880130940,0.0191932099,0.1530733711,0.1050231312,0.0866107736,0.0822910027,0.0016655228,0.0173366817,0.0403299314,0.0064632815
S_Kenya,0.4796309605,0.0287890035,0.1266685593,0.1275943322,0.1068290286,0.0750271362,0.0021612080,0.0143951407,0.0333021472,0.0056024837
Samoa,0.4787907836,0.0325792003,0.1273546562,0.1203285021,0.0966882840,0.0957801565,0.0018622967,0.0134091790,0.0282200131,0.0049869284
Sardinia,0.5632188125,0.0170435316,0.1683687523,0.0788910623,0.0596011471,0.0427674567,0.0012144822,0.0219717333,0.0427345906,0.0041884313
Shandong,0.4568302249,0.0257663282,0.1327816863,0.1261435247,0.0974271998,0.0995269183,0.0018387689,0.0178746547,0.0345815394,0.0072291546
Shanxi,0.4970514036,0.0232038443,0.1496611288,0.1147042091,0.0865779454,0.0711178883,0.0015956061,0.0151819445,0.0351175574,0.0057884725
Sicily_Channel,0.5128021147,0.0207501761,0.1707190101,0.0977288241,0.0824087255,0.0558723545,0.0017014788,0.0125129336,0.0403994184,0.0051049642
Society,0.4636724227,0.0321307769,0.1194264112,0.1218789415,0.1037443218,0.1144008381,0.0017619571,0.0131591930,0.0248289825,0.0049961552
Spain,0.5145036765,0.0206367404,0.1493672875,0.0992580086,0.0015604062,0.0722725853,0.0791464453,0.0335675630,0.0234966755,0.0061906117
Taiwan_Fujian,0.4954514126,0.0248108672,0.1441801828,0.1078677877,0.0928510728,0.0811941153,0.0016362101,0.0133457513,0.0319392423,0.0067233580
Tanganyika,0.4600967583,0.0288198960,0.1328794109,0.1152337462,0.1177675917,0.0829855509,0.0020233180,0.0239083288,0.0291618218,0.0071235775
Tibesti,0.4950784131,0.0233491418,0.1481884176,0.1190574372,0.0950232515,0.0683701954,0.0020013040,0.0113971404,0.0327722430,0.0047624561
Tibet,0.5674779259,0.0140163848,0.1450043710,0.0662353113,0.0655940174,0.0594263054,0.0011276170,0.0475211721,0.0270861049,0.0065107903
Victoria_Tasmania,0.4860020439,0.0241371516,0.1399489070,0.1159909013,0.0875018857,0.0866486616,0.0017204453,0.0154256333,0.0359923542,0.0066320162
Western Anatolia,0.4892834871,0.0228780457,0.1478617242,0.0894360170,0.0982066801,0.0804447780,0.0015225069,0.0233752739,0.0379005642,0.0090909230
Western_USA,0.4707732884,0.0212599586,0.1497301783,0.1101569208,0.1011636695,0.0956682265,0.0018100377,0.0115793988,0.0328438758,0.0050144456
Wudalianchi,0.5145119277,0.0234141206,0.1347617267,0.0872330527,0.0721996167,0.0753112066,0.0013066961,0.0434935943,0.0382511479,0.0095169108
